"Economy","Economy.Code","ISO.Code","Region","Income.Group","Report.Year","WBL.INDEX","MOBILITY","Can.a.woman.choose.where.to.live.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.her.home.in.the.same.way.as.a.man.","Can.a.woman.apply.for.a.passport.in.the.same.way.as.a.man.","Can.a.woman.travel.outside.the.country.in.the.same.way.as.a.man.","WORKPLACE","Can.a.woman.get.a.job.in.the.same.way.as.a.man.","Does.the.law.prohibit.discrimination.in.employment.based.on.gender.","Is.there.legislation.on.sexual.harassment.in.employment.","Are.there.criminal.penalties.or.civil.remedies.for.sexual.harassment.in.employment.","PAY","Does.the.law.mandate.equal.remuneration.for.work.of.equal.value.","Can.a.woman.work.at.night.in.the.same.way.as.a.man.","Can.a.woman.work.in.a.job.deemed.dangerous.in.the.same.way.as.a.man.","Can.a.woman.work.in.an.industrial.job.in.the.same.way.as.a.man.","MARRIAGE","Is.the.law.free.of.legal.provisions.that.require.a.married.woman.to.obey.her.husband.","Can.a.woman.be.head.of.household.in.the.same.way.as.a.man.","Is.there.legislation.specifically.addressing.domestic.violence.","Can.a.woman.obtain.a.judgment.of.divorce.in.the.same.way.as.a.man.","Does.a.woman.have.the.same.rights.to.remarry.as.a.man.","PARENTHOOD","Is.paid.leave.of.at.least.14.weeks.available.to.mothers.","Length.of.paid.maternity.leave","Does.the.government.administer.100.percent.of.maternity.leave.benefits.","Is.there.paid.leave.available.to.fathers.","Length.of.paid.paternity.leave","Is.there.paid.parental.leave.","Shared.days","Days.for.the.mother","Days.for.the.father","Is.dismissal.of.pregnant.workers.prohibited.","ENTREPRENEURSHIP","Does.the.law.prohibit.discrimination.in.access.to.credit.based.on.gender.","Can.a.woman.sign.a.contract.in.the.same.way.as.a.man.","Can.a.woman.register.a.business.in.the.same.way.as.a.man.","Can.a.woman.open.a.bank.account.in.the.same.way.as.a.man.","ASSETS","Do.women.and.men.have.equal.ownership.rights.to.immovable.property.","Do.sons.and.daughters.have.equal.rights.to.inherit.assets.from.their.parents.","Do.male.and.female.surviving.spouses.have.equal.rights.to.inherit.assets.","Does.the.law.grant.spouses.equal.administrative.authority.over.assets.during.marriage.","Does.the.law.provide.for.the.valuation.of.nonmonetary.contributions.","PENSION","Is.the.age.at.which.women.and.men.can.retire.with.full.pension.benefits.the.same.","Is.the.age.at.which.women.and.men.can.retire.with.partial.pension.benefits.the.same.","Is.the.mandatory.retirement.age.for.women.and.men.the.same.","Are.periods.of.absence.due.to.childcare.accounted.for.in.pension.benefits.","match","X","Country.Code","Foreign_direct_investment","agriculture_forestry_value_added","GNI.per.capita","net_barter_terms_of_trade_index","gdp_per_person_employed"
"bahamas, the","BHS","BHS","Latin America & Caribbean","High income",2018,81.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",20,"No",84,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,23,"BHS",3.9,-12.41,29460,99.51,62168.57
"bahrain","BHR","BHR","Middle East & North Africa","High income",2018,37.5,50,"No","No","Yes","Yes",25,"No","Yes","No","No",0,"No","No","No","No",20,"No","No","Yes","No","No",40,"No",60,"No","Yes",1,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",50,"No","Yes","Yes","No",TRUE,22,"BHR",4.38,3.76,23190,108.55,93584.56
"bangladesh","BGD","BGD","South Asia","Lower middle income",2018,49.4,100,"Yes","Yes","Yes","Yes",50,"Yes","No","Yes","No",25,"No","Yes","No","No",60,"Yes","Yes","Yes","No","No",20,"Yes",112,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",25,"No","No","Yes","No",TRUE,20,"BGD",0.75,3.54,2020,91.75,15900.6
"barbados","BRB","BRB","Latin America & Caribbean","High income",2018,70.6,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",40,"No",84,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,30,"BRB",4.71,20.93,17170,98.07,35714.69
"belarus","BLR","BLR","Europe & Central Asia","Upper middle income",2018,75.6,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"Yes","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",126,"Yes","No",0,"Yes",1095,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,25,"BLR",2.38,-15.51,5730,101.9,51231.4
"belgium","BEL","BEL","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",105,"Yes","Yes",14,"Yes",0,120,120,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,17,"BEL",-7.66,-8.47,46060,98.65,143708.03
"belize","BLZ","BLZ","Latin America & Caribbean","Upper middle income",2018,79.4,75,"Yes","Yes","No","Yes",75,"Yes","No","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",98,"Yes","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,26,"BLZ",5.32,-2.39,5600,104.81,27748.46
"benin","BEN","BEN","Sub-Saharan Africa","Lower middle income",2018,74.4,50,"No","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",80,"Yes","Yes","Yes","Yes","No",60,"Yes",98,"No","Yes",3,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,18,"BEN",1.36,7.33,1150,109.17,9279.28
"bhutan","BTN","BTN","South Asia","Lower middle income",2018,75,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",40,"No",56,"No","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",25,"No","No","Yes","No",TRUE,32,"BTN",0.1,2.87,3140,112.94,30473.8
"bolivia","BOL","BOL","Latin America & Caribbean","Lower middle income",2018,88.8,100,"Yes","Yes","Yes","Yes",75,"Yes","No","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",60,"No",90,"Yes","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,28,"BOL",0.75,6.91,3290,99.63,20867.36
"bosnia and herzegovina","BIH","BIH","Europe & Central Asia","Upper middle income",2018,88.1,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"Yes","No","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",365,"Yes","Yes",9,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,24,"BIH",2.94,9.1,5700,102.35,51724.87
"botswana","BWA","BWA","Sub-Saharan Africa","Upper middle income",2018,63.8,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",60,"Yes","No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,33,"BWA",1.68,8.07,6270,93.18,49431.62
"brazil","BRA","BRA","Latin America & Caribbean","Upper middle income",2018,81.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",120,"Yes","Yes",7,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,29,"BRA",4.08,1.31,9140,106.88,39721.45
"brunei darussalam","BRN","BRN","East Asia & Pacific","High income",2018,53.1,50,"No","No","Yes","Yes",25,"Yes","No","No","No",75,"No","Yes","Yes","Yes",40,"No","Yes","Yes","No","No",0,"No",91,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,31,"BRN",3.8,-1.58,29030,117.04,171789.46
"bulgaria","BGR","BGR","Europe & Central Asia","Upper middle income",2018,90.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",410,"Yes","Yes",15,"Yes",365,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","No","Yes",TRUE,21,"BGR",2.73,-1.98,8530,99.01,59414.76
"burkina faso","BFA","BFA","Sub-Saharan Africa","Low income",2018,76.9,75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",60,"Yes","Yes","No","Yes","No",80,"Yes",98,"Yes","Yes",3,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,19,"BFA",1.69,8.56,730,105.14,6750.05
"burundi","BDI","BDI","Sub-Saharan Africa","Low income",2018,73.1,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","Yes","Yes","No",40,"No",84,"No","Yes",4,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"Yes","No","No","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,16,"BDI",0.25,3,240,100.24,2168.85
"cabo verde","CPV","CPV","Sub-Saharan Africa","Lower middle income",2018,86.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",60,"No","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",TRUE,47,"CPV",4.7,-13.31,3630,101.9,21783.94
"cambodia","KHM","KHM","East Asia & Pacific","Lower middle income",2018,75,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","Yes","No",20,"No",90,"No","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","No","Yes","No",TRUE,123,"KHM",13.07,1.1,1420,92.61,8651.11
"cameroon","CMR","CMR","Sub-Saharan Africa","Lower middle income",2018,60,50,"No","Yes","No","Yes",75,"No","Yes","Yes","Yes",25,"No","Yes","No","No",40,"Yes","No","No","Yes","No",80,"Yes",98,"Yes","Yes",3,"No",0,0,0,"Yes",50,"No","Yes","Yes","No",60,"No","Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",TRUE,42,"CMR",1.91,3.84,1500,107.61,12137.89
"canada","CAN","CAN","High income: OECD","High income",2018,97.5,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",105,"Yes","No",0,"Yes",245,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,35,"CAN",2.47,-0.39,45060,103.96,109265.13
"central african republic","CAF","CAF","Sub-Saharan Africa","Low income",2018,77.5,75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",80,"Yes","No","Yes","Yes","Yes",40,"Yes",98,"No","Yes",2,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,34,"CAF",0.81,-65.96,450,97.23,3159.75
"chad","TCD","TCD","Sub-Saharan Africa","Low income",2018,66.3,75,"No","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",50,"Yes","Yes","No","No",60,"Yes","No","Yes","Yes","No",60,"Yes",98,"No","Yes",1,"No",0,0,0,"Yes",50,"No","Yes","Yes","No",60,"No","Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",TRUE,229,"TCD",4.1,-1.32,670,127.55,6284.23
"chile","CHL","CHL","High income: OECD","High income",2018,77.5,100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",75,"No","Yes","Yes","Yes",60,"Yes","No","Yes","Yes","No",100,"Yes",126,"Yes","Yes",7,"Yes",42,42,0,"Yes",75,"No","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",75,"No","Yes","Yes","Yes",TRUE,39,"CHL",2.68,3.76,14610,111.33,64061.38
"china","CHN","CHN","East Asia & Pacific","Upper middle income",2018,75.6,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","Yes","No","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",128,"Yes","Yes",14,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",25,"No","Yes","No","No",TRUE,40,"CHN",1.69,3.48,9540,91.45,33029.03
"colombia","COL","COL","Latin America & Caribbean","Upper middle income",2018,81.9,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",126,"Yes","Yes",10,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","Yes","Yes","No",TRUE,45,"COL",3.38,1.59,6320,126.54,37964.16
"comoros","COM","COM","Sub-Saharan Africa","Lower middle income",2018,65,75,"No","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",40,"Yes","No","Yes","No","No",40,"Yes",98,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",75,"Yes","Yes","Yes","No",TRUE,46,"COM",0.48,5.53,1480,53.54,13624.97
"congo, dem. rep.","ZAR","COD","Sub-Saharan Africa","Low income",2018,70,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",50,"No","Yes","No","Yes",40,"Yes","No","No","Yes","No",60,"Yes",98,"No","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",50,"No","Yes","Yes","No",TRUE,43,"COD",2.96,1.57,480,116.17,3931.18
"congo, rep.","COG","COG","Sub-Saharan Africa","Lower middle income",2018,49.4,50,"No","Yes","No","Yes",25,"Yes","No","No","No",25,"No","Yes","No","No",40,"Yes","No","No","Yes","No",20,"Yes",105,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",TRUE,44,"COG",29.21,-0.03,2080,130.37,22863.97
"costa rica","CRI","CRI","Latin America & Caribbean","Upper middle income",2018,80,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",25,"No","No","No","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"Yes",120,"No","No",0,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,48,"CRI",4.83,4.01,11880,98.77,51574.9
"cote d'ivoire","CIV","CIV","Sub-Saharan Africa","Lower middle income",2018,81.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","No","Yes",60,"Yes","Yes","No","Yes","No",80,"Yes",98,"Yes","Yes",2,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",60,"No","Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",TRUE,41,"CIV",1.06,11.4,2160,88.73,16974.15
"croatia","HRV","HRV","Europe & Central Asia","High income",2018,93.8,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",208,"Yes","Yes",0,"Yes",0,120,120,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,99,"HRV",2.12,6.17,14430,96.44,82172.83
"cyprus","CYP","CYP","Europe & Central Asia","High income",2018,88.8,75,"Yes","Yes","No","Yes",100,"Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",60,"Yes",126,"Yes","No",0,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,53,"CYP",-4.34,-2.34,27390,100.16,66587.88
"czechia","CZE","CZE","High income: OECD","High income",2018,91.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",80,"Yes",196,"Yes","No",0,"Yes",720,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",50,"No","No","Yes","Yes",TRUE,54,"CZE",3.34,4.08,20560,99.31,95141.15
"denmark","DNK","DNK","High income: OECD","High income",2018,100,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes",126,"Yes","Yes",14,"Yes",224,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,58,"DNK",2.46,-1.38,61260,98.73,136343.94
"djibouti","DJI","DJI","Middle East & North Africa","Lower middle income",2018,62.5,100,"Yes","Yes","Yes","Yes",50,"Yes","Yes","No","No",50,"Yes","Yes","No","No",0,"No","No","No","No","No",60,"Yes",98,"No","Yes",3,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",40,"Yes","No","No","Yes","No",100,"Yes","Yes","Yes","Yes",TRUE,56,"DJI",5.83,14.99,2750,99.16,35109.7
"dominica","DMA","DMA","Latin America & Caribbean","Upper middle income",2018,62.5,75,"Yes","Yes","No","Yes",25,"Yes","No","No","No",50,"No","Yes","Yes","No",100,"Yes","Yes","Yes","Yes","Yes",0,"No",84,"No","No",0,"No",0,0,0,"No",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,57,"DMA",14.11,-27.38,7890,99.98,39516.06
"dominican republic","DOM","DOM","Latin America & Caribbean","Upper middle income",2018,86.3,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",75,"No","Yes","Yes","Yes",80,"Yes","Yes","Yes","No","Yes",60,"Yes",98,"No","Yes",2,"No",0,0,0,"Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",75,"Yes","Yes","Yes","No",TRUE,59,"DOM",3.21,5.5,7680,94.99,47719.72
"ecuador","ECU","ECU","Latin America & Caribbean","Upper middle income",2018,89.4,100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",40,"No",84,"No","Yes",14,"No",0,0,0,"Yes",75,"No","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes","Yes",100,"Yes","Yes","Yes","Yes",TRUE,66,"ECU",1.29,1.01,6140,112.95,30217.03
